Gene,log2FC,pvalue,n_g12d,n_wt,FDR
IFRD1 (3475),-0.417261565572403,0.07656188417308338,13,38,
LGALS14 (56891),-0.053044750047358216,0.06642823875742256,13,38,
COX10 (1352),-0.011363160658149685,0.9556171346177036,13,38,
GTF2IRD1 (9569),0.35448666259107053,0.029057076618000766,13,38,
PAF1 (54623),0.037991308164301074,0.8454326992311487,13,38,
VPS41 (27072),0.09389963278333724,0.7001942517979847,13,38,
ARHGAP44 (9912),-0.3869327313340578,0.39478326484574133,13,38,
ELAC2 (60528),0.23511901710729965,0.28014567368139265,13,38,
SCIN (85477),0.3359855028624803,0.4562952533063529,13,38,
ARSD (414),0.6954895891261219,0.01657802683284393,13,38,
PNPLA4 (8228),0.11202244833766306,0.7594313913361644,13,38,
MYH13 (8735),0.2015494785256549,0.3938530604756655,13,38,
ADIPOR2 (79602),-0.14654418884946807,0.2518615822380158,13,38,
CDKL3 (51265),0.2590268985360894,0.12002470444510209,13,38,
UPP2 (151531),0.005924227184652457,0.49369126952538833,13,38,
PRSS21 (10942),-0.3121881067262049,0.09241852493264777,13,38,
MARK4 (57787),0.26282703998816537,0.3773627000004208,13,38,
PROM1 (8842),-0.09121396657908187,0.9082896211592637,13,38,
CCDC124 (115098),-0.09035874218983064,0.7623231908287426,13,38,
CEACAM21 (90273),-0.00034127202823960867,0.9976001056483914,13,38,
PAFAH1B1 (5048),-0.0011895902924106139,0.9948555353782146,13,38,
NOS2 (4843),-0.12634910050534331,0.7376389396641323,13,38,
DNAH9 (1770),0.031753924776340064,0.5250026165288674,13,38,
KIAA0100 (9703),0.3192736742107014,0.12312039599793884,13,38,
SLC13A2 (9058),-0.14809045671489413,0.36876967019738505,13,38,
GAS7 (8522),0.600754047644861,0.12284083351834127,13,38,
TRAPPC6A (79090),-0.008676270499351268,0.9754228823400924,13,38,
MATK (4145),0.058438365621677646,0.8287793237525751,13,38,
CEACAM7 (1087),0.02221420996277068,0.9612946588812882,13,38,
CD79B (974),-0.08422226403061686,0.18956217959559835,13,38,
SCN4A (6329),-0.12398243100778455,0.24351222089531194,13,38,
ST7L (54879),0.1997975423321372,0.17125265990738153,13,38,
TKTL1 (8277),0.05634412401066237,0.5301549878639258,13,38,
PAX6 (5080),0.5226867114800957,0.27153395194680446,13,38,
RPUSD1 (113000),0.2185479114653095,0.3723085979119952,13,38,
RHBDF1 (64285),0.47557072279871715,0.14623777770595742,13,38,
LUC7L (55692),-0.029444164768691827,0.9056159845844323,13,38,
CACNA2D2 (9254),-0.1187098670345843,0.6503031654874235,13,38,
BAIAP3 (8938),0.4490216738290449,0.21060806677668492,13,38,
TSR3 (115939),0.29449778550648187,0.1311513986739892,13,38,
PIGQ (9091),0.3749780588876783,0.15918046534337987,13,38,
CRAMP1 (57585),0.19642304816686407,0.4055257016891576,13,38,
TEAD3 (7005),0.553513429152984,0.036352058399967635,13,38,
SELE (6401),0.003680996199675832,0.7342171355078546,13,38,
